game_id,play_id,type,frame,x,y,tracklet_id
19783001319551,6,defender,72214,20.6651,47.7187,2
19783001319551,6,defender,72215,21.4885,47.7304,2
19783001319551,6,defender,72216,21.197,45.7774,2
19783001319551,6,defender,72217,21.4199,46.4949,2
19783001319551,6,defender,72218,21.0175,46.6539,2
19783001319551,6,defender,72219,20.6854,46.2904,2
19783001319551,6,defender,72220,20.7389,45.8945,2
19783001319551,6,defender,72221,20.3459,45.4757,2
19783001319551,6,defender,72222,20.6068,45.683,2
19783001319551,6,defender,72223,20.6755,45.7226,2
19783001319551,6,defender,72224,20.8634,46.4512,2
19783001319551,6,defender,72225,20.804,46.4851,2
19783001319551,6,defender,72226,21.0301,46.7085,2
19783001319551,6,defender,72227,20.7794,46.3616,2
19783001319551,6,defender,72228,20.3896,45.5598,2
19783001319551,6,defender,72229,20.4439,45.3214,2
19783001319551,6,defender,72230,20.2521,45.5344,2
19783001319551,6,defender,72231,20.2617,45.102,2
19783001319551,6,defender,72232,20.3093,44.721,2
19783001319551,6,defender,72233,20.3929,44.1291,2
19783001319551,6,defender,72234,20.1464,44.1165,2
19783001319551,6,defender,72235,19.6223,43.2575,2
19783001319551,6,defender,72236,18.7342,42.8124,2
19783001319551,6,defender,72237,18.6514,41.9337,2
19783001319551,6,defender,72238,18.0783,42.2273,2
19783001319551,6,defender,72239,18.5637,41.8585,2
19783001319551,6,defender,72240,18.0865,41.779,2
19783001319551,6,defender,72241,17.786,41.3756,2
19783001319551,6,defender,72242,17.3363,41.4734,2
19783001319551,6,defender,72243,18.1483,41.1618,2
19783001319551,6,defender,72244,18.355,40.9408,2
19783001319551,6,defender,72245,17.7032,40.5022,2
19783001319551,6,defender,72246,16.9275,39.65,2
19783001319551,6,defender,72247,17.3795,39.6709,2
19783001319551,6,defender,72248,17.0956,39.0083,2
19783001319551,6,defender,72249,16.5004,38.0522,2
19783001319551,6,defender,72250,16.93,37.8023,2
19783001319551,6,defender,72251,16.397,37.0887,2
19783001319551,6,defender,72252,16.0813,36.2322,2
19783001319551,6,defender,72253,15.7125,35.3427,2
19783001319551,6,defender,72254,15.2083,34.627,2
19783001319551,6,defender,72255,15.0187,34.0302,2
19783001319551,6,defender,72256,14.374,33.1838,2
19783001319551,6,defender,72257,14.3434,33.0069,2
19783001319551,6,defender,72258,13.8862,32.7,2
19783001319551,6,defender,72259,13.7707,32.4951,2
19783001319551,6,defender,72260,13.6424,32.3037,2
19783001319551,6,defender,72261,13.2077,31.8861,2
19783001319551,6,defender,72262,13.3748,31.9782,2
19783001319551,6,defender,72263,13.2074,31.9205,2
19783001319551,6,defender,72264,13.4797,31.5586,2
19783001319551,6,defender,72265,13.0189,31.3173,2
19783001319551,6,defender,72266,12.4704,30.903,2
19783001319551,6,defender,72267,12.3747,30.2639,2
19783001319551,6,defender,72268,12.1866,30.1421,2
19783001319551,6,defender,72269,11.8815,29.8898,2
19783001319551,6,defender,72270,11.7402,29.3701,2
19783001319551,6,defender,72271,11.1581,28.8424,2
19783001319551,6,defender,72272,10.8396,28.3316,2
19783001319551,6,defender,72273,11.0669,28.0298,2
19783001319551,6,defender,72274,11.2837,28.4682,2
19783001319551,6,defender,72275,11.134,28.2722,2
19783001319551,6,defender,72276,11.0936,28.4869,2
19783001319551,6,defender,72277,11.3175,28.6008,2
19783001319551,6,defender,72278,11.2228,28.722,2
19783001319551,6,defender,72279,11.1614,28.7276,2
19783001319551,6,defender,72280,11.2083,28.6762,2
19783001319551,6,defender,72281,11.3995,28.8177,2
19783001319551,6,defender,72282,11.4942,28.7837,2
19783001319551,6,defender,72283,11.2581,28.4226,2
19783001319551,6,defender,72284,11.0666,27.8311,2
19783001319551,6,defender,72285,11.0438,27.4318,2
19783001319551,6,defender,72286,10.9373,27.077,2
19783001319551,6,defender,72287,10.7853,26.6073,2
19783001319551,6,defender,72288,10.7554,26.2598,2
19783001319551,6,defender,72289,10.7319,25.643,2
19783001319551,6,defender,72290,10.725,25.0622,2
19783001319551,6,defender,72291,10.5638,24.7699,2
19783001319551,6,defender,72292,10.6502,25.0744,2
19783001319551,6,defender,72293,10.699,24.5471,2
19783001319551,6,defender,72294,10.4513,24.5131,2
19783001319551,6,defender,72295,10.917,24.7328,2
19783001319551,6,defender,72296,11.1061,24.7461,2
19783001319551,6,defender,72297,11.0284,24.4919,2
19783001319551,6,defender,72298,11.2402,24.5792,2
19783001319551,6,defender,72299,11.4939,24.5612,2
19783001319551,6,defender,72300,11.6408,24.1676,2
19783001319551,6,defender,72301,11.8655,24.1388,2
19783001319551,6,defender,72302,11.8993,23.6002,2
19783001319551,6,defender,72303,12.2605,23.685,2
19783001319551,6,defender,72304,12.1729,23.4111,2
19783001319551,6,defender,72305,12.5693,22.9363,2
19783001319551,6,defender,72306,12.8787,22.7391,2
19783001319551,6,defender,72307,12.9398,22.1881,2
19783001319551,6,defender,72308,13.1952,21.9804,2
19783001319551,6,defender,72309,13.3117,21.9148,2
19783001319551,6,defender,72310,13.5477,21.0575,2
